YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19300101,4.1,4.3,1.5
19300102,1.8,3.0,1.5
19300103,0.3,0.2,0.1
19300104,0.3,0.3,0.3
19300105,0.5,0.5,0.2
19300108,2.3,1.0,0.4
19300109,0.7,0.4,0.1
19300110,0.6,0.4,0.4
19300111,6.7,9.0,2.0
19300112,3.2,3.8,1.3
19300115,0.4,0.2,0.2
19300120,2.4,1.4,0.6
19300125,0.6,0.8,0.4
19300126,0.4,0.3,0.1
19300130,2.7,1.8,0.8
19300202,0.3,0.4,0.2
19300204,2.8,1.8,0.4
19300205,7.3,7.8,2.0
19300215,2.6,2.9,1.6
19300216,1.8,2.0,0.7
19300217,0.8,0.4,0.2
19300307,0.2,0.3,0.3
19300310,4.2,2.1,0.6
19300311,0.8,0.4,0.2
19300312,0.9,2.7,1.7
19300313,3.2,4.2,1.7
19300314,7.2,5.9,1.4
19300316,4.1,5.9,1.9
19300318,0.2,0.4,0.2
19300319,1.1,2.6,2.0
19300320,0.3,0.2,0.1
19300322,0.5,0.8,0.5
19300325,0.3,0.1,0.1
19300326,0.1,0.1,0.1
19300329,0.7,0.5,0.5
19300406,1.2,0.4,0.2
19300407,0.1,0.1,0.1
19300412,1.3,0.8,0.4
19300413,3.7,3.8,1.1
19300416,9.6,8.5,1.3
19300417,5.0,2.8,0.8
19300418,1.8,1.7,0.6
19300422,0.8,0.9,0.6
19300424,1.0,4.3,3.9
19300504,0.1,0.2,0.2
19300506,6.5,9.6,3.1
19300507,0.3,0.2,0.1
19300508,2.1,1.4,0.7
19300509,0.3,0.7,0.5
19300510,4.5,3.5,1.3
19300511,2.8,2.1,0.9
19300512,2.8,3.7,2.4
19300513,0.5,0.3,0.3
19300514,1.6,1.2,0.6
19300518,2.3,2.9,1.2
19300520,0.1,0.2,0.2
19300522,2.9,4.4,1.2
19300524,1.8,7.5,6.3
19300525,2.2,4.6,3.0
19300527,0.3,0.8,0.5
19300531,2.1,8.2,4.3
19300601,1.2,6.0,4.7
19300603,0.5,0.4,0.2
19300612,0.3,0.2,0.2
19300622,1.6,3.6,1.7
19300624,0.8,2.9,1.4
19300625,1.5,5.6,3.7
19300626,0.1,0.2,0.2
19300627,6.4,47.5,22.9
19300702,1.3,13.9,10.0
19300703,1.0,4.6,3.3
19300704,1.1,10.8,10.2
19300705,0.3,0.2,0.2
19300711,2.6,12.4,5.1
19300712,13.2,44.8,11.6
19300714,2.5,7.8,4.1
19300715,0.8,3.3,3.3
19300716,4.7,9.1,3.3
19300717,2.8,2.6,1.2
19300718,0.9,3.1,2.8
19300719,3.9,19.5,8.8
19300720,0.4,6.4,6.4
19300721,3.0,5.6,2.3
19300722,9.3,13.1,2.2
19300723,7.1,9.5,2.9
19300724,0.2,0.1,0.1
19300725,0.2,0.2,0.2
19300726,0.1,0.4,0.4
19300728,1.2,7.5,7.2
19300729,2.6,7.5,1.9
19300730,5.6,9.1,2.4
19300731,0.3,0.3,0.2
19300803,1.2,3.6,2.4
19300804,4.6,5.2,1.6
19300805,0.1,0.3,0.2
19300806,2.6,8.3,4.6
19300807,0.5,3.2,1.9
19300808,0.3,3.3,3.0
19300809,0.5,1.7,1.5
19300810,2.8,6.9,4.6
19300811,8.3,5.5,1.3
19300812,0.3,2.4,2.1
19300813,5.6,14.4,3.5
19300814,9.1,20.3,4.6
19300815,4.5,8.2,1.8
19300816,0.4,0.6,0.4
19300821,2.1,13.6,9.8
19300823,1.8,1.9,1.1
19300831,1.2,0.7,0.4
19300901,0.7,0.3,0.3
19300907,2.8,5.4,2.5
19300908,0.9,2.8,2.4
19300912,5.0,6.1,2.6
19300913,2.8,3.2,1.0
19300914,2.0,8.3,4.9
19300915,2.5,5.5,1.9
19300916,0.4,1.2,0.7
19300917,3.3,2.5,1.0
19300918,3.8,15.5,9.3
19300919,4.5,10.3,3.6
19300920,0.4,0.5,0.5
19300921,6.3,24.0,4.4
19300922,1.2,1.3,0.6
19300923,0.9,1.1,0.5
19300924,2.2,2.8,1.2
19300925,1.7,3.9,2.4
19300926,4.3,8.2,2.4
19300928,8.4,10.0,2.6
19300930,0.7,3.4,2.0
19301004,6.2,8.9,2.0
19301005,5.8,5.2,0.9
19301006,12.9,31.6,3.3
19301007,7.5,9.0,1.8
19301008,4.0,5.9,1.7
